ID Cliente,Abandono,Género,Veterano,Casado,Dependientes Económicos,Antigüedad (meses),Servicio Telefónico,Factura Electrónica,Cargo Mensual,Cargo Total,Cuentas Diarias,Multilinea Telefónica: No,Multilinea Telefónica: Sin teléfono,Multilinea Telefónica: Sí,Internet: DSL,Internet: Fibra Óptica,Internet: No,Seguridad en Linea: No,Seguridad en Linea: Sin Internet,Seguridad en Linea: Sí,Respaldo en Linea: No,Respaldo en Linea: Sin Internet,Respaldo en Linea: Sí,Protección de Dispositivo: No,Protección de Dispositivo: Sin Internet,Protección de Dispositivo: Sí,Soporte Técnico: No,Soporte Técnico: Sin Internet,Soporte Técnico: Sí,TV en Streaming: No,TV en Streaming: Sin Internet,TV en Streaming: Sí,Películas en Streaming: No,Películas en Streaming: Sin Internet,Películas en Streaming: Sí,Contrato: Mes a Mes,Contrato: Un Año,Contrato: Dos Años,Método de Pago: Transferencia Bancaria,Método de Pago: Tarjeta de crédito,Método de Pago: Cheque electrónico,Método de Pago: Cheque enviado por correo,No. Servicios Extras
0098-BOWSO,0,0,0,0,0,27,1,1,19.4,529.8,0.6466666666666666,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0100-DUVFC,0,0,1,1,0,70,1,1,104.8,7336.0,3.493333333333333,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2
0103-CSITQ,0,1,0,1,0,57,1,1,109.4,6252.7,3.646666666666667,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,3
0104-PPXDV,0,0,0,1,0,58,1,0,50.3,2917.3999999999996,1.6766666666666665,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
0106-GHRQR,0,0,0,0,0,16,1,1,71.4,1212.1,2.3800000000000003,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2
0106-UGRDO,0,1,0,1,0,69,1,1,116.0,8004.0,3.8666666666666667,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4
0107-WESLM,1,0,0,0,0,1,1,1,19.85,19.85,0.6616666666666667,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0107-YHINA,1,0,0,0,1,1,1,1,99.75,99.75,3.325,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0111-KLBQG,0,0,1,1,1,32,1,1,93.95,3006.4,3.131666666666667,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
0112-QAWRZ,0,0,0,1,1,16,1,1,90.8,1442.2,3.0266666666666664,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
0112-QWPNC,1,0,0,1,0,49,1,0,84.35,4133.15,2.8116666666666665,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,3
0114-IGABW,0,1,0,1,0,71,0,0,58.25,4145.9,1.9416666666666667,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3
0114-PEGZZ,0,1,0,0,0,33,1,0,107.55,3645.5,3.585,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2
0114-RSRRW,0,1,0,1,0,10,1,1,19.95,199.5,0.6649999999999999,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
0115-TFERT,1,0,0,1,0,21,1,1,111.2,2317.1,3.7066666666666666,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,3
0117-LFRMW,1,0,0,1,1,37,0,0,40.2,1448.8,1.34,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,3
0118-JPNOY,0,1,1,0,0,26,1,1,85.8,2230.7999999999997,2.86,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
0121-SNYRK,0,0,0,0,0,50,0,1,35.4,1748.9,1.18,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,2
0122-OAHPZ,1,1,0,0,0,7,1,1,73.85,516.9499999999999,2.4616666666666664,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0123-CRBRT,0,1,0,1,1,61,1,0,88.1,5374.099999999999,2.9366666666666665,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4
0125-LZQXK,1,0,0,0,0,15,1,1,101.35,1520.25,3.378333333333333,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,2
0128-MKWSG,0,1,0,0,1,26,0,0,45.8,1147.0,1.5266666666666666,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,2
0129-KPTWJ,0,0,0,1,0,72,1,1,94.65,6814.8,3.1550000000000002,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0129-QMPDR,0,0,0,1,1,44,1,1,20.5,902.0,0.6833333333333333,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
0130-SXOUN,0,0,0,0,0,66,1,0,89.4,5976.9,2.98,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1
0133-BMFZO,1,1,0,0,0,2,1,1,86.25,172.5,2.875,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,3
0134-XWXCE,0,1,1,0,0,44,1,0,74.85,3293.3999999999996,2.4949999999999997,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,2
0135-NMXAP,1,1,0,0,0,12,1,1,89.75,1052.4,2.9916666666666667,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
0136-IFMYD,0,0,1,1,0,69,1,1,109.95,7586.55,3.665,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3
0137-OCGAB,1,1,0,0,0,1,1,1,80.2,80.2,2.6733333333333333,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0137-UDEUO,1,1,0,0,0,3,1,0,19.85,59.550000000000004,0.6616666666666667,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0139-IVFJG,0,1,0,1,0,2,1,0,90.35,190.5,3.0116666666666663,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2
0141-YEAYS,0,1,1,0,0,27,1,1,86.45,2334.15,2.881666666666667,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2
0142-GVYSN,0,0,0,0,0,26,1,1,20.3,527.8000000000001,0.6766666666666666,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
0147-ESWWR,0,1,1,1,0,39,1,1,101.25,3948.75,3.375,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1
0148-DCDOS,1,0,0,0,0,25,1,1,94.7,2362.1,3.1566666666666667,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0151-ONTOV,1,1,0,0,0,1,1,0,70.9,70.9,2.3633333333333337,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0156-FVPTA,1,0,0,1,0,22,1,1,54.2,1152.7,1.8066666666666669,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,2
0164-APGRB,0,1,0,0,0,72,1,1,114.9,8496.7,3.83,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,4
0164-XAIRP,0,1,0,0,0,24,1,1,19.55,470.2,0.6516666666666667,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
0168-XZKBB,0,1,0,1,0,19,1,1,86.85,1564.4,2.895,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
0174-QRVVY,0,0,0,1,1,71,1,0,25.35,1799.8500000000001,0.8450000000000001,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
0177-PXBAT,0,0,1,1,0,33,1,1,109.9,3694.7,3.6633333333333336,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,3
0178-CIIKR,0,1,0,0,0,3,1,0,19.95,58.0,0.6649999999999999,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0178-SZBHO,0,0,0,1,1,47,1,0,87.2,4098.400000000001,2.9066666666666667,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
0181-RITDD,0,0,0,1,1,62,1,0,108.15,6705.3,3.605,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4
0186-CAERR,0,0,0,0,0,71,1,1,116.3,8257.3,3.8766666666666665,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,4
0187-QSXOE,0,0,1,1,0,7,1,1,89.0,623.0,2.966666666666667,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
0187-WZNAB,0,1,0,1,1,27,1,0,74.4,2008.8000000000002,2.48,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0188-GWFLE,0,0,0,0,0,2,1,0,20.05,33.7,0.6683333333333333,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
0191-EQUUH,0,1,0,0,1,25,0,0,35.05,876.2499999999999,1.1683333333333332,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,2
0191-ZHSKZ,0,0,1,0,0,30,1,1,74.75,2111.3,2.4916666666666667,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,2
0193-ESZXP,1,1,1,1,0,58,1,1,105.5,6205.5,3.5166666666666666,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,3
0195-IESCP,1,0,0,1,0,10,1,1,85.25,855.3,2.841666666666667,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0196-JTUQI,0,1,0,0,0,9,1,1,75.2,676.8000000000001,2.506666666666667,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0196-VULGZ,1,1,1,1,0,6,1,1,84.35,474.9,2.8116666666666665,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0197-PNKNK,0,1,0,1,1,69,1,0,84.45,5848.6,2.815,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2
0201-MIBOL,0,1,1,0,0,66,1,1,102.4,6758.400000000001,3.4133333333333336,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1
0201-OAMXR,1,1,0,0,0,70,1,0,115.55,8127.6,3.8516666666666666,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,4
0203-HHYIJ,1,0,0,0,0,25,1,0,25.3,632.5,0.8433333333333334,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
0206-OYVOC,0,1,0,1,1,46,1,1,19.25,864.2,0.6416666666666667,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0206-TBWLC,0,1,0,1,0,54,1,1,114.65,6049.5,3.8216666666666668,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,4
0207-MDKNV,1,1,0,0,0,15,1,0,105.1,1576.5,3.503333333333333,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,3
0208-BPQEJ,0,1,0,1,1,12,1,0,19.4,198.1,0.6466666666666666,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
0212-ISBBF,0,1,0,0,0,22,0,1,50.35,1107.7,1.6783333333333335,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
